ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.986013986013986,0.9976939203354298,0.9888888888888889,0.9888888888888889,0.9888888888888889,0.970020964360587
Decision Tree,0.9230769230769231,0.9233752620545074,0.9540229885057471,0.9222222222222223,0.9378531073446328,0.8378398713451533
kNN,0.9790209790209791,0.9844863731656185,0.967741935483871,1.0,0.9836065573770492,0.9554915436983854
Naive Bayes,0.9370629370629371,0.9878406708595389,0.9354838709677419,0.9666666666666667,0.9508196721311475,0.864401349865806
Random Forest (Ensemble),0.958041958041958,0.9949685534591195,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9097751526641134
